ID,Name,Address,Stored Lat,Stored Lng,Geocoded Lat,Geocoded Lng,Diff (m)
198ede92-0e08-4b47-941a-c7ba08283053,"Alchemist (The Mill)","1 North Bridge Road #01-19, Singapore 179094",1.3201,103.8138,1.28999676915058,103.849282222609,5173
ed5c6b6e-65ba-43b2-8bce-d80522a56366,"Ah Kow Mushroom Minced Pork Mee","Singapore",1.3341299,103.8516901,1.31420028050153,103.815958422447,4548
30560a06-6469-49d7-9b4a-6518ee582c54,"8889 Ji Gong Bao","133 Ang Mo Kio Avenue 3, #01-1635, Singapore 560133",1.3781167,103.8755114,1.37113968605234,103.842644163241,3735
2763c3f2-ec78-4b72-aad5-bf5f37e84bd1,"An Shun Seafood Soup","124 Hougang Ave 1, #01-1446, Singapore 530124",1.3712,103.8865,1.35289261537459,103.886655349716,2036
6af52957-39d7-482f-8275-669aa47df91b,"99 Old Trees","109 Killiney Rd, Singapore 239548",1.2804145,103.8408618,1.29803598382746,103.838851026835,1972
a0b8d681-5de7-4dfc-b0f3-5ee07eb01bc4,"Al-Mahboob Rojak","11 Tampines St 32, #02-25, Singapore 529287",1.3525,103.9425,1.35454944260132,103.959900189012,1948
2c72d492-62d3-4eba-aa46-892d368238ce,"58 Minced Meat Noodle","Yuhua Market",1.3347897,103.7216752,1.34541698312776,103.731703838354,1625
94e9162d-a447-4205-8707-4523cef6ebd5,"Ah Hua Teo Chew Noodle","415 Pandan Gardens, Singapore 600415",1.3125,103.7558,1.32076543342048,103.748258626828,1244
dcd375e4-29ec-4bfb-8ab2-f636547f6707,"Ah Er Herbal Soup","6 Jalan Bukit Merah, #01-141, Singapore 150006",1.2875,103.8165,1.28688297261475,103.808131274161,933
6ec417b9-ca6e-4411-8083-53af88d2ccdc,"Amano Italian Ristorante","Namly Place",1.3289,103.7919,1.3233716257872,103.797923171395,909
cab1cc26-9117-4138-a0ee-ea99a47ea9c7,"777 Fried Hokkien Prawn Mee","469 Bukit Batok West Ave 9",1.3480065,103.7435441,1.35523395393666,103.741758756565,828
3e3fb477-e9cc-48e5-badc-051e3dd3ca16,"Apartment Coffee","139 Selegie Road, #01-01, Singapore 188309",1.3007,103.8546,1.30277801701807,103.849851343626,576
b407fdb3-f44c-4a60-b935-d1ddd827a485,"Ampang Yong Tau Foo","928 Upper Thomson Road, Singapore 787121",1.4015,103.8205,1.39947283493817,103.817940413608,363
91fa92f9-548b-4edd-be76-99fe9844dcd9,"97 Nasi Lemak (Senja)","2 Senja Close, #02-03, Senja Hawker Centre, Singapore 677632",1.3842,103.7618,1.38719400415283,103.761083976377,342
1b78cf08-f6af-432a-8581-076cfcce231a,"Amoy Street Lor Mee (Senja)","2 Senja Close, #02-01, Senja Hawker Centre, Singapore 677632",1.3842,103.7618,1.38719400415283,103.761083976377,342
316320bf-4ddb-4bca-a2aa-23db9f3ccf45,"216 Choa Chu Kang BBQ Chicken Wings","121 Pasir Panjang Road, Pasir Panjang Food Centre, Singapore 118543",1.2765,103.789,1.27591797439292,103.791410908656,276
3ece4eab-6e92-46a2-b80e-548b7d8a68c3,"Ah Seng Braised Duck Rice","263 Serangoon Central Drive, #01-43",1.3521,103.8725,1.35386322697735,103.871939623369,206
